entrezGeneId,hugoGeneSymbol,type
101340252,SNORD121B,snoRNA
3360,HTR4,protein-coding
100113379,SNORD121A,snoRNA
-3510,MIR-124A-1/5P,miRNA
3362,HTR6,protein-coding
3363,HTR7,protein-coding
106481909,RNU6-654P,pseudogene
56987,BBX,protein-coding
106479427,RN7SL563P,pseudogene
107985793,ARL14EPP1,pseudogene
116349,EXOC3-AS1,ncRNA
51398,WDR83OS,protein-coding
27294,DHDH,protein-coding
-34,MIR-99-21/3P,miRNA
613,BCR,protein-coding
81552,VOPP1,protein-coding
106480397,RNU6-653P,pseudogene
400797,CLEC20A,protein-coding
124902374,ORMDL1P1,pseudogene
1305,COL13A1,protein-coding
-2702,MIR-196B/3P,miRNA
100506815,FOXP1-IT1,ncRNA
100421621,FAM187B2P,pseudogene
111216284,BNC2-AS1,ncRNA
644051,IDH1P1,pseudogene
109617006,SNORA63B,snoRNA
109616970,SNORA63C,snoRNA
106479857,RNU6-656P,pseudogene
109616971,SNORA63D,snoRNA
106481075,RN7SL561P,pseudogene
109617007,SNORA63E,snoRNA
389524,GTF2IRD2B,protein-coding
153932,SRP72P2,pseudogene
100420752,SRP72P1,pseudogene
107985737,MYOM3-AS1,ncRNA
-33,MIR-99-21/5P,miRNA
100506436,SPAG5-AS1,ncRNA
1719,DHFR,protein-coding
50514,DELEC1,ncRNA
105376432,DCLRE1CP1,pseudogene
161497,STRC,protein-coding
106479856,RNU6-655P,pseudogene
100132363,LOC100132363,protein-coding
100132365,LOC100132365,protein-coding
6801,STRN,protein-coding
106479426,RN7SL560P,pseudogene
643733,CASP4LP,pseudogene
51298,SPMAP2,protein-coding
388381,SPMAP1,protein-coding
7212,TRX-CAT2-1,tRNA
27113,BBC3,protein-coding
266671,MAGI2-IT1,unknown
106481387,RNU6-650P,pseudogene
375057,STUM,protein-coding
4607,MYBPC3,protein-coding
4604,MYBPC1,protein-coding
4606,MYBPC2,protein-coding
116435289,ANKRD49P2,pseudogene
100419814,ANKRD49P1,pseudogene
633,BGN,protein-coding
100130680,ANKRD49P4,pseudogene
391834,ANKRD49P3,pseudogene
8577,TMEFF1,protein-coding
28524,TRDD2,other
23671,TMEFF2,protein-coding
28523,TRDD3,other
28525,TRDD1,other
-3528,MIR-124-3/5P,miRNA
105379054,VCAN-AS1,ncRNA
-1264,MIR-491/3P,miRNA
644315,RPS7P11,pseudogene
100270914,RPS7P12,pseudogene
100128060,RPS7P10,pseudogene
-3511,MIR-124A-1/3P,miRNA
100506215,PAXBP1-AS1,ncRNA
100528007,BORCS7-ASMT,other
10228,STX6,protein-coding
100189283,TRV-TAC2-1,tRNA
6811,STX5,protein-coding
6810,STX4,protein-coding
6809,STX3,protein-coding
728015,RPS7P15,pseudogene
2054,STX2,protein-coding
637,BID,protein-coding
-2699,MIR-199-S/199A,miRNA
100130435,RPS7P13,pseudogene
106481388,RNU6-652P,pseudogene
646108,RPS7P14,pseudogene
25803,SPDEF,protein-coding
53615,MBD3,protein-coding
